athlete_id,athlete_name,gender,age,date_of_birth,nationality,country_name,sport,event,games_type,year,host_city,team_or_individual,medal,result_value,result_unit,total_olympics_attended,total_medals_won,gold_medals,silver_medals,bronze_medals,country_total_gold,country_total_medals,country_first_participation,country_best_rank,is_record_holder,coach_name,height_cm_bad,weight_kg_bad,notes,height_cm,weight_kg
ATH-00043,Tirunesh Silva,Female,25,11/4/1999,RSA,South Africa,Freestyle Skiing,Ski Cross M,Winter,1932,Lake Placid,Individual,No Medal,61.358,points,5,7,4,3,0,23,90,1904,30,No,Vladimir Alekna,161.1,58.1,First from country,1.08432E-70,5.85451E-26
ATH-00044,Jessica Popov,Female,31,6/20/1993,RSA,South Africa,Short Track Speed Skating,3000m Relay W,Winter,1924,Chamonix,Individual,No Medal,88.028,seconds,5,0,0,0,0,23,90,1904,30,No,Khristo Hristov,161.5,60.6,Technical violation,7.26844E-71,4.80567E-27
ATH-00045,Giorgi Gebrselassie,Male,17,4/27/2007,GRE,Greece,Volleyball,Men's Indoor Volleyball,Summer,1908,London,Team,No Medal,25.868,points,3,1,0,1,0,34,116,1896,10,No,Renato Canova,190.4,75.9,Oldest medalist,2.04329E-83,1.08905E-33
ATH-00046,Tigran Martinez,Male,23,7/11/2001,SWE,Sweden,Basketball,3x3 Men's,Summer,1920,Antwerp,Team,No Medal,10.944,points,5,4,2,2,0,200,648,1896,4,No,Franz Stampfl,215,99.4,Record broken next day,4.23337E-94,6.77842E-44
ATH-00047,Gantulga Müller,Male,33,7/8/1991,BUL,Bulgaria,Figure Skating,Ice Dance,Winter,1988,Calgary,Individual,Gold,240.412,points,2,7,6,1,0,54,224,1896,15,No,Li Yongbo,171.3,46.3,Olympic Debut,4.03047E-75,7.80127E-21
ATH-00048,Patricia Liu,Female,28,11/5/1996,COL,Colombia,Bobsled,2-man M,Winter,1936,Garmisch-Partenkirchen,Team,No Medal,211.65,seconds,4,4,2,2,0,8,24,1932,48,No,Percy Cerutty,189.5,112.6,Record broken next day,5.02569E-83,1.25442E-49
ATH-00049,Lars Rossi,Male,22,12/3/2002,GBR,Great Britain,Freestyle Skiing,Moguls W,Winter,1998,Nagano,Individual,No Medal,85.826,points,3,1,1,0,0,285,896,1896,2,No,Franz Stampfl,187.1,56.6,Youngest competitor,5.53991E-82,2.62381E-25
ATH-00050,Gabriela Kato,Female,20,3/3/2004,GRE,Greece,Basketball,3x3 Women's,Summer,1906,Athens,Team,No Medal,15.213,points,2,3,3,0,0,34,116,1896,10,World Record,Virgilijus Alekna,190.8,85.2,Oldest medalist,1.36966E-83,9.95658E-38
ATH-00051,Matthew Kowalczyk,Male,26,10/10/1998,AUT,Austria,Taekwondo,-80kg M,Summer,2008,Beijing,Individual,No Medal,6.339,points,4,7,4,1,2,59,196,1896,18,No,Jon Drummond,189.6,53.9,-,4.54743E-83,3.90416E-24
ATH-00052,Elena Williams,Female,33,11/25/1991,GRE,Greece,Taekwondo,-49kg W,Summer,1896,Athens,Individual,No Medal,3.662,points,5,7,4,1,2,34,116,1896,10,No,Vladimir Alekna,187.7,59.1,-,3.04037E-82,2.15375E-26
ATH-00053,Walter Wójcik,Male,16,10/12/2008,AUS,Australia,Football (Soccer),Men's Football,Summer,2008,Beijing,Team,Silver,8.091,goals,4,4,2,2,0,170,554,1896,4,No,Andrei Socaci,168.6,64,-,5.99723E-74,1.60381E-28
ATH-00054,Alexandra Esposito,Female,38,6/26/1986,JPN,Japan,Triathlon,Men's Triathlon,Summer,2020,Tokyo,Individual,No Medal,4989.945,seconds,4,1,0,0,1,170,497,1912,3,No,Bob Bowman,194,76.7,Equipment issue,5.58304E-85,4.89343E-34
ATH-00055,Nataliya Yadav,Female,41,11/12/1983,ESP,Spain,Rowing,Double Sculls M,Summer,1996,Atlanta,Individual,No Medal,578.253,seconds,5,7,0,5,2,50,170,1900,18,No,Arthur Lydiard,181.6,67.5,Olympic Debut,1.35557E-79,4.84309E-30
ATH-00056,Karolina Gebremariam,Female,18,4/18/2006,USA,United States,Football (Soccer),Men's Football,Summer,1896,Athens,Team,No Medal,6.223,goals,5,5,5,0,0,1061,2638,1896,1,No,Valentin Lalev,186.8,64.6,-,7.47809E-82,8.8019E-29
ATH-00057,Natalya Kowalczyk,Female,29,4/28/1995,GBR,Great Britain,Ski Jumping,Normal Hill Team,Winter,1964,Innsbruck,Team,Silver,141.686,metres,1,5,4,1,0,285,896,1896,2,No,John Smith,173,52.6,-,7.363E-76,1.43255E-23
ATH-00058,Thomas Silva,Male,22,3/26/2002,RSA,South Africa,Shooting,Skeet M,Summer,2008,Beijing,Individual,Bronze,235.181,points,2,8,3,4,1,23,90,1904,30,No,Khristo Hristov,186.8,64.3,Personal Best,7.47809E-82,1.18813E-28
ATH-00059,Nino Fischer,Male,40,3/4/1984,HUN,Hungary,Triathlon,Mixed Relay,Summer,2020,Tokyo,Individual,No Medal,4608.397,seconds,2,2,0,1,1,182,536,1896,5,No,Arthur Lydiard,181.8,55.4,-,1.10985E-79,8.71135E-25
ATH-00060,Faith Shah,Female,31,10/4/1993,CHN,China,Rowing,Double Sculls W,Summer,2012,London,Individual,No Medal,462.306,seconds,1,0,0,0,0,263,636,1932,1,No,Wei Ping,176.8,84.2,Oldest medalist,1.64716E-77,2.70648E-37
ATH-00061,Darya Yang,Female,17,3/9/2007,FRA,France,Weightlifting,+109kg,Summer,2024,Paris,Individual,No Medal,341.899,kg,5,8,5,3,0,248,844,1896,3,No,Wei Ping,176.2,98.1,Olympic Debut,3.00132E-77,2.4872E-43
ATH-00062,Julien Santos,Male,41,8/13/1983,CUB,Cuba,Shooting,10m Air Rifle W,Summer,1920,Antwerp,Individual,No Medal,251.528,points,3,5,3,1,1,82,226,1900,8,Olympic Record,Bao Chünlai,172.4,61.1,National Record,1.34163E-75,2.91479E-27
ATH-00063,Kimberly Gantulga,Female,16,10/18/2008,FRA,France,Wrestling,Greco-Roman 97kg,Summer,1920,Antwerp,Individual,No Medal,9.716,points,4,1,1,0,0,248,844,1896,3,No,Franz Stampfl,190.1,112.7,Olympic Debut,2.75816E-83,1.13504E-49
ATH-00064,Olga Farah,Female,26,9/12/1998,HUN,Hungary,Short Track Speed Skating,1000m M,Winter,1956,Cortina d'Ampezzo,Individual,No Medal,49.929,seconds,5,3,3,0,0,182,536,1896,5,No,Vladimir Alekna,183.1,76.9,Weather-affected,3.02469E-80,4.0064E-34
ATH-00065,Hovhannes Liu,Male,33,11/13/1991,USA,United States,Biathlon,Pursuit M,Winter,1976,Innsbruck,Individual,Silver,2085.602,seconds,4,1,0,1,0,1061,2638,1896,1,No,Andrei Chemerkin,176.4,70.6,-,2.45727E-77,2.18177E-31
ATH-00066,Liang Jackson,Male,36,2/9/1988,GER,Germany,Wrestling,Greco-Roman 77kg,Summer,2024,Paris,Individual,No Medal,4.107,points,3,7,7,0,0,275,854,1896,2,No,Tadashi Suzuki,166,96,-,8.07451E-73,2.03109E-42
ATH-00067,Susan Choi,Female,27,10/2/1997,EGY,Egypt,Freestyle Skiing,Moguls M,Winter,1994,Lillehammer,Individual,Bronze,83.616,points,3,3,1,1,1,8,28,1912,45,No,Percy Cerutty,169.8,55.3,-,1.80633E-74,9.62754E-25
ATH-00068,Emily Kamau,Female,42,12/2/1982,BEL,Belgium,Archery,Team W,Summer,2000,Sydney,Individual,Gold,246.91,points,5,1,1,0,0,43,158,1900,20,Olympic Record,Marcus O'Sullivan,174.5,80.6,Disqualified (false start),1.64291E-76,9.90523E-36
ATH-00069,Lisa Wiśniewski,Female,42,2/8/1982,DPR,North Korea,Curling,Women's Curling,Winter,2018,PyeongChang,Team,No Medal,9.57,points,3,8,1,6,1,16,54,1964,35,No,Hiroshi Hoketsu,187.4,73.9,Olympic Debut,4.10406E-82,8.04707E-33
ATH-00070,Naira Yang,Female,22,2/5/2002,ESP,Spain,Short Track Speed Skating,500m W,Winter,1956,Cortina d'Ampezzo,Individual,Bronze,348.832,seconds,2,3,2,0,1,50,170,1900,18,No,Sandor Szabo,183.7,70.8,-,1.65998E-80,1.78628E-31
ATH-00071,Arjun Martinez,Male,30,8/21/1994,CUB,Cuba,Alpine Skiing,Combined M,Winter,2010,Vancouver,Individual,No Medal,194.84,seconds,3,0,0,0,0,82,226,1900,8,No,Hiroshi Hoketsu,175.5,61.5,National Record,6.04392E-77,1.95384E-27
ATH-00072,Vikram Navruzov,Male,35,4/11/1989,IND,India,Short Track Speed Skating,3000m Relay W,Winter,1980,Lake Placid,Team,No Medal,54.127,seconds,3,0,0,0,0,10,35,1900,48,No,Sandor Szabo,184.5,54.5,-,7.45879E-81,2.14265E-24
ATH-00073,Nisha Gebrselassie,Female,39,6/22/1985,CAN,Canada,Volleyball,Men's Indoor Volleyball,Summer,1912,Stockholm,Team,No Medal,11.3,points,1,5,0,2,3,118,381,1900,6,No,Khristo Hristov,192.3,80.5,Final Appearance,3.05613E-84,1.0947E-35
ATH-00074,Valentina Mwangi,Female,19,10/23/2005,JPN,Japan,Biathlon,Pursuit M,Winter,1932,Lake Placid,Team,No Medal,2821.255,seconds,2,6,5,1,0,170,497,1912,3,No,Franz Stampfl,184.4,88.7,Personal Best,8.24323E-81,3.00663E-39
ATH-00075,Luis Melnyk,Male,21,4/5/2003,FIN,Finland,Speed Skating,1500m M,Winter,1968,Grenoble,Team,Gold,225.963,seconds,5,2,1,1,0,161,459,1908,3,No,Khristo Hristov,167.2,71.9,Disqualified (false start),2.43199E-73,5.94603E-32
ATH-00076,Aysel Kwon,Female,29,10/10/1995,TUR,Turkey,Bobsled,2-woman W,Winter,1928,St. Moritz,Team,Bronze,237.012,seconds,2,4,2,1,1,40,99,1908,22,No,Jon Drummond,181,117.4,First from country,2.47001E-79,1.03235E-51
ATH-00077,Oleksandr Petrov,Male,40,10/5/1984,GRE,Greece,Short Track Speed Skating,500m W,Winter,1994,Lillehammer,Team,Gold,155.446,seconds,1,7,5,2,0,34,116,1896,10,No,Gennadi Touretski,177.2,67.5,Oldest medalist,1.10412E-77,4.84309E-30
ATH-00078,Kamran Choi,Male,41,8/12/1983,ARG,Argentina,Short Track Speed Skating,500m M,Winter,1948,St. Moritz,Team,No Medal,49.613,seconds,2,6,4,1,1,23,77,1920,30,No,Bao Chünlai,168.4,54.4,-,7.32503E-74,2.36799E-24
ATH-00079,Franz Dinu,Male,37,3/25/1987,HUN,Hungary,Biathlon,Individual W,Winter,1948,St. Moritz,Individual,No Medal,1644.611,seconds,3,0,0,0,0,182,536,1896,5,No,Jon Drummond,169.9,63.5,Olympic Debut,1.63443E-74,2.64424E-28
ATH-00080,Karen Bekele,Female,41,8/20/1983,BUL,Bulgaria,Cycling,BMX Racing,Summer,1906,Athens,Individual,Gold,5327.836,seconds,2,8,3,5,0,54,224,1896,15,No,Glen Mills,175.9,55,-,4.05136E-77,1.29958E-24
ATH-00081,Tsend-Ochir Nozadze,Male,32,9/26/1992,ESP,Spain,Wrestling,Greco-Roman 97kg,Summer,2000,Sydney,Individual,No Medal,3.283,points,1,6,6,0,0,50,170,1900,18,World Record,Virgilijus Alekna,181.5,133.5,National Record,1.49814E-79,1.0512E-58
ATH-00082,Razvan Yuldashev,Male,38,6/5/1986,SNG,Singapore,Cross-Country Skiing,Sprint M,Winter,1960,Squaw Valley,Team,No Medal,7331.754,seconds,4,5,5,0,0,1,5,1948,62,Olympic Record,Vladimir Alekna,194.4,70.8,Oldest medalist,3.74242E-85,1.78628E-31
ATH-00083,Bogdan Petrov,Male,16,6/10/2008,SWE,Sweden,Gymnastics (Artistic),All-Around,Summer,1908,London,Individual,No Medal,13.606,points,1,8,7,1,0,200,648,1896,4,No,Li Yongbo,171.4,46.7,-,3.64692E-75,5.22935E-21
ATH-00084,Ayana Wanjiku,Female,38,8/13/1986,ITA,Italy,Biathlon,Sprint W,Winter,1964,Innsbruck,Individual,No Medal,1573.639,seconds,5,7,7,0,0,247,753,1900,4,No,Bao Chünlai,171.5,61.1,Disqualified (false start),3.29987E-75,2.91479E-27
ATH-00085,Carlos Esposito,Male,24,8/20/2000,FRA,France,Taekwondo,-80kg M,Summer,1912,Stockholm,Individual,Bronze,9.608,points,1,7,5,1,1,248,844,1896,3,No,Hiroshi Hoketsu,184.9,90.9,Season Best,4.99977E-81,3.33144E-40
ATH-00086,Priya Amiranashvili,Female,40,12/22/1984,RSA,South Africa,Weightlifting,67kg,Summer,2008,Beijing,Individual,No Medal,355.807,kg,1,2,2,0,0,23,90,1904,30,No,Andrei Chemerkin,160,77.4,Season Best,3.25749E-70,2.43E-34
ATH-00087,Anjali Kowalczyk,Female,39,2/19/1985,KEN,Kenya,Basketball,Women's Basketball,Summer,2008,Beijing,Team,No Medal,12.442,points,2,6,2,2,2,38,109,1956,20,No,Yury Zakharevich,213.2,71.6,Olympic Debut,2.56104E-93,8.02629E-32
ATH-00088,Natalya Rossi,Female,37,8/7/1987,RUS,Russia,Canoe/Kayak,K-1 1000m M,Summer,2016,Rio de Janeiro,Individual,Silver,583.456,seconds,4,2,1,1,0,194,531,1994,2,No,Tadashi Suzuki,197.9,92.4,Comeback after injury,1.13011E-86,7.43344E-41
ATH-00089,Giulia Yamamoto,Female,37,12/23/1987,AUT,Austria,Weightlifting,67kg,Summer,2000,Sydney,Individual,No Medal,302.908,kg,2,8,3,0,5,59,196,1896,18,No,Andrei Chemerkin,186.7,77.5,Comeback after injury,8.26457E-82,2.19876E-34
ATH-00090,Daniel Rodriguez,Male,27,12/24/1997,SWE,Sweden,Curling,Women's Curling,Winter,1998,Nagano,Team,No Medal,5.95,points,2,6,6,0,0,200,648,1896,4,No,Franz Stampfl,194.2,90.7,Final Appearance,4.571E-85,4.06903E-40
ATH-00091,Rahul Sargsyan,Male,42,1/27/1982,MAS,Malaysia,Judo,Half-Lightweight,Summer,2016,Rio de Janeiro,Individual,No Medal,9.527,ippon,3,4,1,1,2,0,12,1956,58,No,Jon Drummond,192.6,59.7,National Record,2.26403E-84,1.18201E-26
ATH-00092,Kimberly Romano,Female,34,9/3/1990,RSA,South Africa,Canoe/Kayak,Canoe Slalom K-1 M,Summer,1906,Athens,Individual,No Medal,519.69,seconds,5,2,0,2,0,23,90,1904,30,No,Bao Chünlai,188.2,84.2,Personal Best,1.84407E-82,2.70648E-37
ATH-00093,Ketevan Kim,Female,39,10/14/1985,GRE,Greece,Wrestling,Greco-Roman 130kg,Summer,1896,Athens,Individual,No Medal,4.655,points,4,7,4,2,1,34,116,1896,10,No,Wei Ping,167.1,119.6,Season Best,2.68777E-73,1.14388E-52
ATH-00094,Dafne Kuznetsov,Female,25,10/5/1999,GRE,Greece,Volleyball,Men's Beach Volleyball,Summer,1996,Atlanta,Team,No Medal,19.041,points,4,5,5,0,0,34,116,1896,10,No,Sandor Szabo,175.2,79.8,Olympic Debut,8.15843E-77,2.20445E-35
ATH-00095,Anthony Jackson,Male,24,7/28/2000,KOR,South Korea,Triathlon,Mixed Relay,Summer,1996,Atlanta,Individual,No Medal,5555.954,seconds,2,2,1,1,0,99,266,1948,5,No,Jon Drummond,187.4,68.5,Photo-finish silver,4.10406E-82,1.78167E-30
ATH-00096,Irina Lee,Female,33,6/2/1991,CUB,Cuba,Swimming,100m Freestyle,Summer,1900,Paris,Individual,No Medal,704.13,seconds,1,7,4,0,3,82,226,1900,8,No,Franz Stampfl,181.2,90.3,Season Best,2.02227E-79,6.07027E-40
ATH-00097,Camelia Rossi,Female,17,7/17/2007,NED,Netherlands,Ice Hockey,Women's Ice Hockey,Winter,1928,St. Moritz,Team,No Medal,9.539,goals,2,4,4,0,0,121,380,1900,7,No,Franz Stampfl,199.3,87,Final Appearance,2.78683E-87,1.64581E-38
ATH-00098,Monika Anderson,Female,16,1/5/2008,NZL,New Zealand,Tennis,Men's Doubles,Summer,2004,Athens,Individual,No Medal,5.657,sets,5,8,7,0,1,46,116,1908,25,No,Percy Cerutty,195.9,60.6,-,8.35047E-86,4.80567E-27
